Code Domaine;Domaine;Code zone;Zone;Code Élément;Élément;Code Produit;Produit;Code année;Année;Unité;Valeur;Symbole;Description du Symbole
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;2005;2005;tonnes;6790215;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;2006;2006;tonnes;6776880;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;2007;2007;tonnes;6019056;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;2008;2008;tonnes;6019149;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;2009;2009;tonnes;6101525;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;2010;2010;tonnes;5893530;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;2011;2011;tonnes;6640980;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;2012;2012;tonnes;5384561;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;2013;2013;tonnes;5540835;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;2014;2014;tonnes;6204909;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;2015;2015;tonnes;6258363;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;2016;2016;tonnes;6027506;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;2017;2017;tonnes;5011054;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;2018;2018;tonnes;6267790;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;2019;2019;tonnes;5489650;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;2020;2020;tonnes;5884230;A;Chiffre officiel
